"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"JA000047662","TOKYO, JA","2024-07-25","0.00",,"86",,
"JA000047662","TOKYO, JA","2024-07-26","0.02",,"86",,"80"
"JA000047662","TOKYO, JA","2024-07-27","0.00",,"87",,"79"
"JA000047662","TOKYO, JA","2024-07-28","0.02",,"90",,"80"
"JA000047662","TOKYO, JA","2024-07-29","0.00",,"90",,"85"
"JA000047662","TOKYO, JA","2024-07-30","0.00",,"86",,
"JA000047662","TOKYO, JA","2024-07-31","0.02",,"83",,
"JA000047662","TOKYO, JA","2024-08-01","1.67",,"84",,"76"
"JA000047662","TOKYO, JA","2024-08-02","0.00",,"84",,"78"
"JA000047662","TOKYO, JA","2024-08-03","0.00",,"85",,
"JA000047662","TOKYO, JA","2024-08-04","0.00",,"86",,"78"
"JA000047662","TOKYO, JA","2024-08-05","0.00",,"86",,"79"
"JA000047662","TOKYO, JA","2024-08-06","0.00",,"86",,"80"
"JA000047662","TOKYO, JA","2024-08-07","0.00",,"82",,
"JA000047662","TOKYO, JA","2024-08-08","3.01",,"84",,"75"
"JA000047662","TOKYO, JA","2024-08-09","0.00",,"86",,"80"
"JA000047662","TOKYO, JA","2024-08-10","0.00",,"86",,"80"
"JA000047662","TOKYO, JA","2024-08-11","0.00",,"90",,"81"
"JA000047662","TOKYO, JA","2024-08-13","0.00",,"87",,
"JA000047662","TOKYO, JA","2024-08-14","0.00",,"86",,
"JA000047662","TOKYO, JA","2024-08-15","0.00",,"86",,
"JA000047662","TOKYO, JA","2024-08-16","1.57",,"80",,
"JA000047662","TOKYO, JA","2024-08-17","1.97",,"87",,"77"
"JA000047662","TOKYO, JA","2024-08-18","0.00",,"86",,"80"
"JA000047662","TOKYO, JA","2024-08-19","0.00",,"82",,
"JA000047662","TOKYO, JA","2024-08-20","0.89",,"83",,"74"
"JA000047662","TOKYO, JA","2024-08-21","0.00",,"83",,
"JA000047662","TOKYO, JA","2024-08-22","0.85",,"82",,"77"
"JA000047662","TOKYO, JA","2024-08-23","0.61",,"84",,"81"
"JA000047662","TOKYO, JA","2024-08-24","0.00",,"84",,
"JA000047662","TOKYO, JA","2024-08-25","0.10",,"83",,"78"
"JA000047662","TOKYO, JA","2024-08-26","0.00",,"85",,
"JA000047662","TOKYO, JA","2024-08-27","1.16",,"82",,"76"
"JA000047662","TOKYO, JA","2024-08-28","0.02",,"82",,
"JA000047662","TOKYO, JA","2024-08-29","0.00",,"80",,
"JA000047662","TOKYO, JA","2024-08-30","2.89",,"79",,"77"
"JA000047662","TOKYO, JA","2024-08-31","1.59",,"80",,
"JA000047662","TOKYO, JA","2024-09-01","0.41",,"80",,"75"
"JA000047662","TOKYO, JA","2024-09-02","1.32",,"84",,
"JA000047662","TOKYO, JA","2024-09-03","0.00",,"76",,
"JA000047662","TOKYO, JA","2024-09-04","0.37",,"78",,
"JA000047662","TOKYO, JA","2024-09-05","0.00",,"81",,"72"
"JA000047662","TOKYO, JA","2024-09-06","0.00",,"84",,"76"
"JA000047662","TOKYO, JA","2024-09-07","0.00",,"84",,"78"
"JA000047662","TOKYO, JA","2024-09-08","0.00",,"84",,"78"
"JA000047662","TOKYO, JA","2024-09-09","0.00",,"82",,
"JA000047662","TOKYO, JA","2024-09-10","0.10",,"85",,"76"
"JA000047662","TOKYO, JA","2024-09-11","0.00",,"85",,"79"
"JA000047662","TOKYO, JA","2024-09-12","0.00",,"85",,"80"
"JA000047662","TOKYO, JA","2024-09-13","0.00",,"87",,"80"
"JA000047662","TOKYO, JA","2024-09-14","0.00",,"86",,"79"
"JA000047662","TOKYO, JA","2024-09-15","0.00",,"84",,
"JA000047662","TOKYO, JA","2024-09-16","1.36",,"78",,
"JA000047662","TOKYO, JA","2024-09-17","0.06",,"84",,"74"
"JA000047662","TOKYO, JA","2024-09-18","0.00",,"83",,
"JA000047662","TOKYO, JA","2024-09-19","0.10",,"82",,"76"
"JA000047662","TOKYO, JA","2024-09-20","0.00",,"86",,"78"
"JA000047662","TOKYO, JA","2024-09-21","0.00",,"81",,
"JA000047662","TOKYO, JA","2024-09-22","0.10",,"75",,
"JA000047662","TOKYO, JA","2024-09-23","0.31",,"71",,
"JA000047662","TOKYO, JA","2024-09-24","0.00",,"70",,"64"
"JA000047662","TOKYO, JA","2024-09-25","0.00",,"70",,"64"
"JA000047662","TOKYO, JA","2024-09-26","0.20",,"77",,"67"
"JA000047662","TOKYO, JA","2024-09-27","0.02",,"74",,
"JA000047662","TOKYO, JA","2024-09-28","0.30",,"75","81","71"
"JA000047662","TOKYO, JA","2024-09-29","0.00",,"72",,
"JA000047662","TOKYO, JA","2024-09-30","0.08",,"73",,"69"
"JA000047662","TOKYO, JA","2024-10-01","0.00",,"76",,"68"
"JA000047662","TOKYO, JA","2024-10-02","0.02",,"80",,"72"
"JA000047662","TOKYO, JA","2024-10-03","0.02",,"74",,"71"
"JA000047662","TOKYO, JA","2024-10-04","0.49",,"78",,"71"
"JA000047662","TOKYO, JA","2024-10-05","0.02",,"68",,
"JA000047662","TOKYO, JA","2024-10-06","0.35",,"71",,"66"
"JA000047662","TOKYO, JA","2024-10-07","0.00",,"78",,"69"
"JA000047662","TOKYO, JA","2024-10-08","0.20",,"62",,
"JA000047662","TOKYO, JA","2024-10-09","2.97",,"61",,"59"
"JA000047662","TOKYO, JA","2024-10-10","0.26",,"63",,"59"
"JA000047662","TOKYO, JA","2024-10-11","0.00",,"67",,"58"
"JA000047662","TOKYO, JA","2024-10-12","0.00",,"70",,"62"
"JA000047662","TOKYO, JA","2024-10-13","0.00",,"70",,"62"
"JA000047662","TOKYO, JA","2024-10-14","0.00",,"70",,"62"
"JA000047662","TOKYO, JA","2024-10-15","0.00",,"72",,"64"
"JA000047662","TOKYO, JA","2024-10-16","0.00",,"73",,"66"
"JA000047662","TOKYO, JA","2024-10-17","0.00",,"73",,"69"
"JA000047662","TOKYO, JA","2024-10-18","0.00",,"71",,
"JA000047662","TOKYO, JA","2024-10-19","0.12",,"74",,
"JA000047662","TOKYO, JA","2024-10-20","0.02",,"59",,
"JA000047662","TOKYO, JA","2024-10-21","0.00",,"63",,"53"
"JA000047662","TOKYO, JA","2024-10-22","0.00",,"69",,"58"
"JA000047662","TOKYO, JA","2024-10-23","0.00",,"72",,"66"
"JA000047662","TOKYO, JA","2024-10-24","0.26",,"72",,
"JA000047662","TOKYO, JA","2024-10-25","0.02",,"67",,
"JA000047662","TOKYO, JA","2024-10-26","0.00",,"66",,
"JA000047662","TOKYO, JA","2024-10-27","0.00",,"67",,"62"
"JA000047662","TOKYO, JA","2024-10-28","0.47",,"65",,
"JA000047662","TOKYO, JA","2024-10-29","0.00",,"58",,
"JA000047662","TOKYO, JA","2024-10-30","1.63",,"63",,"54"
"JA000047662","TOKYO, JA","2024-10-31","0.02",,"61",,
"JA000047662","TOKYO, JA","2024-11-01","0.00",,"64",,"54"
"JA000047662","TOKYO, JA","2024-11-02","0.49",,"61",,"59"
"JA000047662","TOKYO, JA","2024-11-03","0.85",,"62",,
"JA000047662","TOKYO, JA","2024-11-04","0.00",,"65",,"53"
"JA000047662","TOKYO, JA","2024-11-05","0.00",,"61",,"56"
"JA000047662","TOKYO, JA","2024-11-06","0.02",,"57",,
"JA000047662","TOKYO, JA","2024-11-07","0.00",,"55",,
"JA000047662","TOKYO, JA","2024-11-08","0.00",,"53",,"47"
"JA000047662","TOKYO, JA","2024-11-09","0.00",,"57",,"46"
"JA000047662","TOKYO, JA","2024-11-10","0.00",,"58",,"53"
"JA000047662","TOKYO, JA","2024-11-11","0.06",,"61",,
"JA000047662","TOKYO, JA","2024-11-12","0.00",,"62",,"53"
"JA000047662","TOKYO, JA","2024-11-13","0.00",,"61",,
"JA000047662","TOKYO, JA","2024-11-14","0.00",,"62",,"53"
"JA000047662","TOKYO, JA","2024-11-15","0.30",,"61",,"57"
"JA000047662","TOKYO, JA","2024-11-16","0.00",,"62",,"58"
"JA000047662","TOKYO, JA","2024-11-17","0.00",,"67",,"59"
"JA000047662","TOKYO, JA","2024-11-22","0.04",,"55",,"45"
"JA000047662","TOKYO, JA","2024-11-23","0.00",,"52",,
"JA000047662","TOKYO, JA","2024-11-24","0.00",,"51",,
"JA000047662","TOKYO, JA","2024-11-25","0.00",,"50",,"42"
"JA000047662","TOKYO, JA","2024-11-26","0.00",,"52",,"42"
"JA000047662","TOKYO, JA","2024-11-27","1.04",,"59",,"48"
"JA000047662","TOKYO, JA","2024-11-28","0.00",,"54",,
"JA000047662","TOKYO, JA","2024-11-29","0.00",,"51",,
"JA000047662","TOKYO, JA","2024-11-30","0.00",,"52",,"42"
"JA000047662","TOKYO, JA","2024-12-02","0.00",,"53",,"46"
"JA000047662","TOKYO, JA","2024-12-03","0.00",,"55",,"45"
"JA000047662","TOKYO, JA","2024-12-04","0.00",,"55",,"47"
"JA000047662","TOKYO, JA","2024-12-05","0.00",,"51",,
"JA000047662","TOKYO, JA","2024-12-06","0.00",,"52",,"41"
"JA000047662","TOKYO, JA","2024-12-07","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-12-08","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-12-09","0.00",,"47",,"36"
"JA000047662","TOKYO, JA","2024-12-10","0.00",,"48",,"40"
"JA000047662","TOKYO, JA","2024-12-11","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-12-12","0.00",,"43",,
"JA000047662","TOKYO, JA","2024-12-13","0.00",,"43",,"34"
"JA000047662","TOKYO, JA","2024-12-14","0.00",,"43",,
"JA000047662","TOKYO, JA","2024-12-15","0.00",,"45",,"33"
"JA000047662","TOKYO, JA","2024-12-16","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-12-17","0.00",,"47",,"37"
"JA000047662","TOKYO, JA","2024-12-18","0.00",,"45",,"37"
"JA000047662","TOKYO, JA","2024-12-19","0.02",,"40",,
"JA000047662","TOKYO, JA","2024-12-20","0.00",,"45",,"34"
"JA000047662","TOKYO, JA","2024-12-21","0.00",,"51",,"37"
"JA000047662","TOKYO, JA","2024-12-22","0.00",,"42",,
"JA000047662","TOKYO, JA","2024-12-23","0.00",,"43",,
"JA000047662","TOKYO, JA","2024-12-24","0.00",,"46",,"35"
"JA000047662","TOKYO, JA","2024-12-25","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-12-26","0.00",,"49",,"38"
"JA000047662","TOKYO, JA","2024-12-27","0.00",,"43",,
"JA000047662","TOKYO, JA","2024-12-28","0.00",,"41",,
"JA000047662","TOKYO, JA","2024-12-29","0.00",,"44",,"33"
"JA000047662","TOKYO, JA","2024-12-30","0.00",,"43",,
"JA000047662","TOKYO, JA","2024-12-31","0.00",,"47",,"37"
"JA000047662","TOKYO, JA","2025-01-01","0.00",,"44",,
"JA000047662","TOKYO, JA","2025-01-02","0.00",,"47",,"36"
"JA000047662","TOKYO, JA","2025-01-03","0.00",,"40",,
"JA000047662","TOKYO, JA","2025-01-04","0.00",,"40",,
"JA000047662","TOKYO, JA","2025-01-05","0.00",,"41",,"32"
"JA000047662","TOKYO, JA","2025-01-06","0.00",,"42",,"35"
"JA000047662","TOKYO, JA","2025-01-07","0.98",,"46",,
"JA000047662","TOKYO, JA","2025-01-08","0.00",,"44",,"37"
"JA000047662","TOKYO, JA","2025-01-09","0.00",,"43",,
"JA000047662","TOKYO, JA","2025-01-10","0.00",,"40",,"32"
"JA000047662","TOKYO, JA","2025-01-11","0.00",,"43",,"32"
"JA000047662","TOKYO, JA","2025-01-12","0.00",,"42",,
"JA000047662","TOKYO, JA","2025-01-13","0.00",,"44",,"34"
"JA000047662","TOKYO, JA","2025-01-14","0.00",,"44",,"34"
"JA000047662","TOKYO, JA","2025-01-15","0.00",,"45",,"37"
"JA000047662","TOKYO, JA","2025-01-16","0.00",,"40",,
"JA000047662","TOKYO, JA","2025-01-17","0.00",,"40",,"34"
"JA000047662","TOKYO, JA","2025-01-18","0.00",,"41",,"33"
"JA000047662","TOKYO, JA","2025-01-19","0.00",,"45",,"35"
"JA000047662","TOKYO, JA","2025-01-20","0.00",,"50",,"41"
"JA000047662","TOKYO, JA","2025-01-21","0.02",,"47",,
"JA000047662","TOKYO, JA","2025-01-22","0.00",,"47",,"39"
"JA000047662","TOKYO, JA","2025-01-23","0.00",,"47","57","41"
"JA000047662","TOKYO, JA","2025-01-24","0.00",,"49",,"40"
"JA000047662","TOKYO, JA","2025-01-25","0.02",,"43",,
"JA000047662","TOKYO, JA","2025-01-26","0.00",,"44",,
"JA000047662","TOKYO, JA","2025-01-27","0.00",,"44",,"36"
"JA000047662","TOKYO, JA","2025-01-28","0.00",,"47",,
"JA000047662","TOKYO, JA","2025-01-29","0.00",,"44",,
"JA000047662","TOKYO, JA","2025-01-30","0.00",,"44",,"34"
"JA000047662","TOKYO, JA","2025-01-31","0.00",,"45",,"36"
"JA000047662","TOKYO, JA","2025-02-01","0.00",,"46",,"37"
"JA000047662","TOKYO, JA","2025-02-02","0.20",,"40",,
"JA000047662","TOKYO, JA","2025-02-03","0.06",,"43",,"39"
"JA000047662","TOKYO, JA","2025-02-04","0.00",,"40",,
"JA000047662","TOKYO, JA","2025-02-05","0.00",,"39",,
"JA000047662","TOKYO, JA","2025-02-06","0.00",,"40",,"31"
"JA000047662","TOKYO, JA","2025-02-07","0.00",,"41",,"31"
"JA000047662","TOKYO, JA","2025-02-08","0.00",,"40",,"33"
"JA000047662","TOKYO, JA","2025-02-09","0.00",,"41",,
"JA000047662","TOKYO, JA","2025-02-10","0.00",,"43",,"31"
"JA000047662","TOKYO, JA","2025-02-11","0.00",,"42",,"33"
"JA000047662","TOKYO, JA","2025-02-12","0.00",,"47",,"33"
"JA000047662","TOKYO, JA","2025-02-13","0.00",,"44",,
"JA000047662","TOKYO, JA","2025-02-14","0.00",,"46",,"36"
